YEAR,FILM,FILM_ID,COUNTRY,COUNTRY_ID,VOTER,VOTER_ID,DIRECTOR,DIRECTOR_ID,GENDER,GENDER_ID,ROLE,ROLE_ID
,,4ce2b6b3b75b7,,,,729,,,,,,
,,4ce2b69562aa2,,,,729,,,,,,
,,4ce2b8b17e0f7,,,,729,,,,,,
,,4ce2b6a78d5ab,,,,729,,,,,,
,,4ce2b6ab6a59f,,,,729,,,,,,
,,4ce2b72b789cf,,,,729,,,,,,
,,4ce2b6b185765,,,,729,,,,,,
,,4ce2b7c99ed38,,,,729,,,,,,
,,4ce2b76e98a5c,,,,729,,,,,,
,,4ce2b8021b76d,,,,729,,,,,,
,,4ce2b77a030e7,,,,613,,,,,,
,,4ce2b6ab03131,,,,613,,,,,,
,,4ce2b8cb27d19,,,,613,,,,,,
,,4ce2b6ab9ee40,,,,613,,,,,,
,,4ce2b6b3b9f72,,,,613,,,,,,
,,4ce2b6b461386,,,,613,,,,,,
,,4ce2b6b5c4f6e,,,,613,,,,,,
,,4ce2b6b736e0f,,,,613,,,,,,
,,4ce2b77923ebe,,,,613,,,,,,
,,4ce2b6b90075a,,,,613,,,,,,
,,4ce2b6b25bb2b,,,,824,,,,,,
,,4ce2b6b9450a5,,,,824,,,,,,
,,4ce2b6a68bd9d,,,,824,,,,,,
,,4ce2b6a7a801b,,,,824,,,,,,
,,4ce2b72b62c27,,,,824,,,,,,
,,4ce2b6accac8a,,,,824,,,,,,
,,4ce2b6adb948c,,,,824,,,,,,
,,4ce2b6bbbf1e2,,,,824,,,,,,
,,4ce2b752105a2,,,,824,,,,,,
,,4ce2b6b8908e4,,,,824,,,,,,
,,4ce2b6a90d39d,,,,454,,,,,,
,,4ce2b6ab4237b,,,,454,,,,,,
,,4ce2b6bbbab86,,,,454,,,,,,
,,4ce2b6ad5a28a,,,,454,,,,,,
,,4ce2b6ad68d94,,,,454,,,,,,
,,4ce2b6b03bb00,,,,454,,,,,,
,,4ce2b6b209ea3,,,,454,,,,,,
,,4ce2b6b3ec3fe,,,,454,,,,,,
,,4ce2b6b47f860,,,,454,,,,,,
,,4ce2b6adbf5f5,,,,454,,,,,,
,,4ce2b6ed0e330,,,,618,,,,,,
,,4ce2b6fcec1cc,,,,618,,,,,,
,,4ce2b8a4d2900,,,,618,,,,,,
,,4ce2b723d03d5,,,,618,,,,,,
,,4ce2b75e5b0c7,,,,618,,,,,,
,,4ce2b821ef715,,,,618,,,,,,
,,4ce2b6bae586b,,,,618,,,,,,
,,4ce2b6ded348a,,,,618,,,,,,
,,4ce2b6b3b75b7,,,,399,,,,,,
,,4ce2b6a54c395,,,,399,,,,,,
,,4ce2b6b7433c1,,,,399,,,,,,
,,4ce2b69562aa2,,,,399,,,,,,
,,4ce2b6a535bee,,,,399,,,,,,
,,4ce2b6a906793,,,,399,,,,,,
,,4ce2b6b5b6382,,,,399,,,,,,
,,4ce2b6b6036b6,,,,399,,,,,,
,,4ce2b6b7bc1b8,,,,399,,,,,,
,,4ce2b6bad3a0d,,,,399,,,,,,
,,4ce2b6bcd514a,,,,492,,,,,,
,,4ce2b6aadb03d,,,,492,,,,,,
,,4ce2b6b3339b2,,,,492,,,,,,
,,4ce2b7550bab9,,,,492,,,,,,
,,4ce2b6b2b629c,,,,492,,,,,,
,,4ce2b765f258a,,,,492,,,,,,
,,4ce2b6b513f84,,,,492,,,,,,
,,4ce2b6b5b6382,,,,492,,,,,,
,,4ce2b8c3565bc,,,,492,,,,,,
,,4ce2b79d52351,,,,492,,,,,,
,,4ce2b6f9669b2,,,,469,,,,,,
,,4ce2b6b94f5ad,,,,469,,,,,,
,,4ce2b6abe00df,,,,469,,,,,,
,,4ce2b73f2ec00,,,,469,,,,,,
,,4ce2b6b0ccaac,,,,469,,,,,,
,,4ce2b6b1bc4ee,,,,469,,,,,,
,,4ce2b6b310bc0,,,,469,,,,,,
,,4ce2b7bce9af1,,,,469,,,,,,
,,4ce2b6a83acc4,,,,469,,,,,,
,,4ce2b6fe560c7,,,,469,,,,,,
,,4ce2b6a52249e,,,,141,,,,,,
,,4ce2b7235c23c,,,,141,,,,,,
,,4ce2b6a7c6652,,,,141,,,,,,
,,4ce2b73744255,,,,141,,,,,,
,,4ce2b6ac7c70f,,,,141,,,,,,
,,4ce2b6ad02e91,,,,141,,,,,,
,,4ce2b6a498bd1,,,,141,,,,,,
,,4ce2b6ac8876b,,,,141,,,,,,
,,4ce2b70b25114,,,,141,,,,,,
,,4ce2b6b2314d3,,,,141,,,,,,
,,4ce2b6ae61fec,,,,1148,,,,,,
,,4ce2b6b507d7c,,,,1148,,,,,,
,,4ce2b6a8ac25c,,,,1148,,,,,,
,,4ce2b7a84fc79,,,,1148,,,,,,
,,4ce2b7a5a7e59,,,,1148,,,,,,
,,4ce2b7461c88b,,,,1148,,,,,,
,,4ce2b6b3ec3fe,,,,1148,,,,,,
,,4ce2b6b6f1d17,,,,1148,,,,,,
,,4ce2b78d7365c,,,,1148,,,,,,
,,4ce2b6bb90b37,,,,1148,,,,,,
,,4ce2b6a439bc9,,,,131,,,,,,
,,4ce2b6a9a615f,,,,131,,,,,,
,,4ce2b80eaafad,,,,131,,,,,,
,,4ce2b6aa79614,,,,131,,,,,,
,,4ce2b6bbbf1e2,,,,131,,,,,,
,,4ce2b6b22e4cd,,,,131,,,,,,
,,4ce2b6b310bc0,,,,131,,,,,,
,,4ce2b6b3291db,,,,131,,,,,,
,,4ce2b6b50a0d5,,,,131,,,,,,
,,4ce2b8a69d6fb,,,,131,,,,,,
,,4ce2b6b58c0c7,,,,735,,,,,,
,,4ce2b6a477be9,,,,735,,,,,,
,,4ce2b6a44b82c,,,,735,,,,,,
,,4ce2b6ab03131,,,,735,,,,,,
,,4ce2b6ad028a9,,,,735,,,,,,
,,4ce2b6aec1d37,,,,735,,,,,,
,,4ce2b6b0210f1,,,,735,,,,,,
,,4ce2b6b54abdf,,,,735,,,,,,
,,4ce2b6b8908e4,,,,735,,,,,,
,,4ce2b6b94daff,,,,735,,,,,,
,,4ce2b6acb6fe3,,,,604,,,,,,
,,4ce2b6b194d13,,,,604,,,,,,
,,4ce2b6bb90873,,,,604,,,,,,
,,4ce2b7fdef9f7,,,,604,,,,,,
,,4ce2b752105a2,,,,604,,,,,,
,,4ce2b6b2d8659,,,,604,,,,,,
,,4ce2b6b46ab2d,,,,604,,,,,,
,,4ce2b775b801a,,,,604,,,,,,
,,4f4b8bf00dfa0,,,,604,,,,,,
,,4ce2b6b9caca4,,,,604,,,,,,
,,4ce2b6b7433c1,,,,93,,,,,,
,,4ce2b69562aa2,,,,93,,,,,,
,,4ce2b85bbfe0f,,,,93,,,,,,
,,4ce2b6ab03131,,,,93,,,,,,
,,4ce2b7b9372f0,,,,93,,,,,,
,,4ce2b81fe24cb,,,,93,,,,,,
,,4ce2b6b3291db,,,,93,,,,,,
,,4ce2b76ccb454,,,,93,,,,,,
,,4ce2b6b295aa3,,,,93,,,,,,
,,4ce2b6ba2864d,,,,93,,,,,,
,,4ce2b6f24787d,,,,700,,,,,,
,,4ce2b6a68bd9d,,,,700,,,,,,
,,4ce2b82020179,,,,700,,,,,,
,,4ce2b6a7a801b,,,,700,,,,,,
,,4ce2b6ab42667,,,,700,,,,,,
,,4ce2b6ace592f,,,,700,,,,,,
,,4ce2b6b3ec3fe,,,,700,,,,,,
,,4ce2b6b4ef7fb,,,,700,,,,,,
,,4ce2b6b6036b6,,,,700,,,,,,
,,4ce2b6b81dc84,,,,700,,,,,,
,,4ce2b6ab46fea,,,,764,,,,,,
,,4ce2b6edeeb13,,,,764,,,,,,
,,4ce2b70696ace,,,,764,,,,,,
,,4ce2b6a92af32,,,,764,,,,,,
,,4ce2b6bfdd960,,,,764,,,,,,
,,4ce2b6a60d68c,,,,764,,,,,,
,,4ce2b6a498bd1,,,,764,,,,,,
,,4ce2b6afd6db6,,,,764,,,,,,
,,4ce2b7fa53d9d,,,,764,,,,,,
,,4ce2b872dd8ff,,,,764,,,,,,
,,4ce2b72b5311e,,,,999,,,,,,
,,4ce2b8326d012,,,,999,,,,,,
,,4ce2b6bb8e7a6,,,,999,,,,,,
,,4ce2b8ab7a567,,,,999,,,,,,
,,4ce2b6be331c6,,,,999,,,,,,
,,4ce2b6ae52369,,,,999,,,,,,
,,4ce2b732a9e56,,,,999,,,,,,
,,4ce2b7b656c2d,,,,999,,,,,,
,,4ce2b787b6482,,,,999,,,,,,
,,4ce2b6ab46fea,,,,376,,,,,,
,,4ce2b6a7a801b,,,,376,,,,,,
,,4ce2b7093f572,,,,376,,,,,,
,,4ce2b6aec1d37,,,,376,,,,,,
,,4ce2b6a21d217,,,,376,,,,,,
,,4ce2b8a8d0785,,,,376,,,,,,
,,4ce2b69592ecf,,,,376,,,,,,
,,4ce2b6b3c5012,,,,376,,,,,,
,,4ce2b6b54abdf,,,,376,,,,,,
,,4ce2b6b70d4ac,,,,376,,,,,,
,,4ce2b81b9d18e,,,,768,,,,,,
,,4ce2b6c010eb7,,,,768,,,,,,
,,4ce2b6bfd1ebb,,,,768,,,,,,
,,4ce2b6a7a801b,,,,768,,,,,,
,,4ce2b6a76bf31,,,,768,,,,,,
,,4ce2b6aa3733f,,,,768,,,,,,
,,4ce2b6bbbf1e2,,,,768,,,,,,
,,4ce2b6bf4e912,,,,768,,,,,,
,,4ce2b6b392e27,,,,768,,,,,,
,,4ce2b6b6036b6,,,,768,,,,,,
,,4ce2b6bfaa639,,,,130,,,,,,
,,4ce2b6bc285f7,,,,130,,,,,,
,,4ce2b6ab42667,,,,130,,,,,,
,,4ce2b7b9b17db,,,,130,,,,,,
,,4ce2b6af6e08b,,,,130,,,,,,
,,4ce2b6b28404d,,,,130,,,,,,
,,4ce2b7c99ed38,,,,130,,,,,,
,,4ce2b8021b76d,,,,130,,,,,,
,,4ce2b7ccbe34e,,,,130,,,,,,
,,4ce2b77b4418a,,,,130,,,,,,
,,4ce2b69ac89d8,,,,507,,,,,,
,,4ce2b6fec6e4f,,,,507,,,,,,
,,4ce2b6a90d39d,,,,507,,,,,,
,,4ce2b71608532,,,,507,,,,,,
,,4ce2b6ad82ff5,,,,507,,,,,,
,,4ce2b754db651,,,,507,,,,,,
,,4ce2b6955c6ba,,,,507,,,,,,
,,4ce2b6b68d44c,,,,507,,,,,,
,,4ce2b6b7bc1b8,,,,507,,,,,,
,,4ce2b6b824610,,,,507,,,,,,
,,4ce2b6edeeb13,,,,73,,,,,,
,,4ce2b6bfdd960,,,,73,,,,,,
,,4ce2b6b62419c,,,,73,,,,,,
,,4ce2b6adb948c,,,,73,,,,,,
,,4ce2b7bd6bdbc,,,,73,,,,,,
,,4ce2b75fe2a9d,,,,73,,,,,,
,,4ce2b6b4ef7fb,,,,73,,,,,,
,,4ce2b8153ced0,,,,73,,,,,,
,,4ce2b77b4418a,,,,73,,,,,,
,,4ce2b6ebeb664,,,,1,,,,,,
,,4ce2b75d39e3b,,,,1,,,,,,
,,4ce2b6f695fc4,,,,1,,,,,,
,,4ce2b7e2b963d,,,,1,,,,,,
,,4ce2b6aadb03d,,,,1,,,,,,
,,4ce2b740d3924,,,,1,,,,,,
,,4ce2b6b218cee,,,,1,,,,,,
,,4ce2b6b310bc0,,,,1,,,,,,
,,4ce2b6b61b4e8,,,,1,,,,,,
,,4ce2b6bf3bbfd,,,,1,,,,,,
,,4ce2b6b3b75b7,,,,1101,,,,,,
,,4ce2b6b4b0e0c,,,,1101,,,,,,
,,4ce2b69562aa2,,,,1101,,,,,,
,,4ce2b6ae61fec,,,,1101,,,,,,
,,4ce2b7a39630e,,,,1101,,,,,,
,,4ce2b725b82be,,,,1101,,,,,,
,,4ce2b6ac49313,,,,1101,,,,,,
,,4ce2b6bbbf1e2,,,,1101,,,,,,
,,4ce2b6955c6ba,,,,1101,,,,,,
,,4ce2b82b6b26b,,,,1101,,,,,,
,,4ce2b6edeeb13,,,,861,,,,,,
,,4ce2b6ab01897,,,,861,,,,,,
,,4ce2b6b049967,,,,861,,,,,,
,,4ce2b6b086e20,,,,861,,,,,,
,,4ce2b6ad7b33b,,,,861,,,,,,
,,4ce2b6e13bb25,,,,861,,,,,,
,,4ce2b6b3c5012,,,,861,,,,,,
,,4ce2b6b4ead96,,,,861,,,,,,
,,4ce2b6b5bfaab,,,,861,,,,,,
,,4ce2b6a9833a2,,,,861,,,,,,
,,4ce2b6b1a3be1,,,,448,,,,,,
,,4ce2b8b9bf0a9,,,,448,,,,,,
,,4ce2b77f75021,,,,448,,,,,,
,,4ce2b6af56337,,,,448,,,,,,
,,4ce2b82851832,,,,448,,,,,,
,,4ce2b6b5991f4,,,,448,,,,,,
,,4ce2b7d2abfbc,,,,448,,,,,,
,,4ce2b77b4418a,,,,448,,,,,,
,,4ce2b6b90075a,,,,448,,,,,,
,,4ce2b880223d5,,,,448,,,,,,
,,4ce2b69562aa2,,,,797,,,,,,
,,4ce2b6bf4befa,,,,797,,,,,,
,,4ce2b6a66b375,,,,797,,,,,,
,,4ce2b6bbb8e51,,,,797,,,,,,
,,4ce2b6ab4237b,,,,797,,,,,,
,,4ce2b6a754af6,,,,797,,,,,,
,,4ce2b754db651,,,,797,,,,,,
,,4ce2b6b41d658,,,,797,,,,,,
,,4ce2b6a99de5f,,,,797,,,,,,
,,4ce2b6b6466ce,,,,797,,,,,,
,,4ce2b72b5311e,,,,1068,,,,,,
,,4ce2b7cdde4e6,,,,1068,,,,,,
,,4ce2b72b62c27,,,,1068,,,,,,
,,4ce2b6d27bdb7,,,,1068,,,,,,
,,4ce2b71a239ce,,,,1068,,,,,,
,,4ce2b70412349,,,,1068,,,,,,
,,4ce2b8485aac9,,,,1068,,,,,,
,,4ce2b6b0d6787,,,,1068,,,,,,
,,4ce2b6d46b377,,,,1068,,,,,,
,,4ce2b6b9450a5,,,,1003,,,,,,
,,4ce2b6b25bb2b,,,,1003,,,,,,
,,4ce2b6a5074d0,,,,1003,,,,,,
,,4ce2b6a44b82c,,,,1003,,,,,,
,,4f4b9a8382524,,,,1003,,,,,,
,,4ce2b78292f14,,,,1003,,,,,,
,,4ce2b6bb90873,,,,1003,,,,,,
,,4ce2b754db651,,,,1003,,,,,,
,,4ce2b6b2deaa5,,,,1003,,,,,,
,,4ce2b6b3ec3fe,,,,1003,,,,,,
,,4ce2b69562aa2,,,,769,,,,,,
,,4ce2b7e2b963d,,,,769,,,,,,
,,4ce2b6bfd1ebb,,,,769,,,,,,
,,4ce2b6a78d5ab,,,,769,,,,,,
,,4ce2b6b0ce272,,,,769,,,,,,
,,4ce2b693c9d98,,,,769,,,,,,
,,4ce2b81fe24cb,,,,769,,,,,,
,,4ce2b6b1ed5b4,,,,769,,,,,,
,,4ce2b7be990ee,,,,769,,,,,,
,,4ce2b6bf3bbfd,,,,769,,,,,,
,,4ce2b87fe9a8c,,,,566,,,,,,
,,4ce2b85bbfe0f,,,,566,,,,,,
,,4ce2b6bd1e475,,,,566,,,,,,
,,4ce2b6ad87c49,,,,566,,,,,,
,,4ce2b6bbda06f,,,,566,,,,,,
,,4ce2b7a5a7e59,,,,566,,,,,,
,,4ce2b6bb90873,,,,566,,,,,,
,,4ce2b7663dc08,,,,566,,,,,,
,,4ce2b76647955,,,,566,,,,,,
,,4ce2b79d3ec22,,,,566,,,,,,
,,4ce2b8960b6ba,,,,1174,,,,,,
,,4ce2b6b7433c1,,,,1174,,,,,,
,,4ce2b6a7ea9b8,,,,1174,,,,,,
,,4ce2b6b62419c,,,,1174,,,,,,
,,4ce2b6adb948c,,,,1174,,,,,,
,,4ce2b6b218cee,,,,1174,,,,,,
,,4ce2b765f258a,,,,1174,,,,,,
,,4ce2b6b5b6382,,,,1174,,,,,,
,,4ce2b6b7bc1b8,,,,1174,,,,,,
,,4ce2b6adbf5f5,,,,1174,,,,,,
,,4ce2b6a96caa6,,,,1070,,,,,,
,,4ce2b71b3b873,,,,1070,,,,,,
,,4ce2b6b02dc27,,,,1070,,,,,,
,,4ce2b6b185765,,,,1070,,,,,,
,,4ce2b6b310bc0,,,,1070,,,,,,
,,4ce2b6b46ab2d,,,,1070,,,,,,
,,4ce2b6a99de5f,,,,1070,,,,,,
,,4ce2b6b78bfc0,,,,1070,,,,,,
,,4ce2b6b9caca4,,,,1070,,,,,,
,,4ce2b6bb09360,,,,1070,,,,,,
,,4ce2b6b9450a5,,,,649,,,,,,
,,4ce2b7a39630e,,,,649,,,,,,
,,4ce2b6a96caa6,,,,649,,,,,,
,,4ce2b6ad028a9,,,,649,,,,,,
,,4ce2b72cca8a0,,,,649,,,,,,
,,4ce2b6af8f820,,,,649,,,,,,
,,4ce2b8379038e,,,,649,,,,,,
,,4ce2b6b143f57,,,,649,,,,,,
,,4ce2b6b30995b,,,,649,,,,,,
,,4ce2b7cb624b7,,,,649,,,,,,
,,4ce2b6b3b75b7,,,,850,,,,,,
,,4ce2b6b7433c1,,,,850,,,,,,
,,4ce2b6b5c1dac,,,,850,,,,,,
,,4ce2b6b2b59cc,,,,850,,,,,,
,,4ce2b6b30995b,,,,850,,,,,,
,,4ce2b7c8951ef,,,,850,,,,,,
,,4ce2b6b3ec3fe,,,,850,,,,,,
,,4ce2b776255f6,,,,850,,,,,,
,,4ce2b6b6b7aca,,,,850,,,,,,
,,4ce2b6b8908e4,,,,850,,,,,,
,,4ce2b8b5eb906,,,,411,,,,,,
,,4ce2b88d3b9c8,,,,411,,,,,,
,,4ce2b89c8eb89,,,,411,,,,,,
,,4ce2b73116007,,,,411,,,,,,
,,4ce2b8d3835b2,,,,411,,,,,,
,,4ce2b6a21d217,,,,411,,,,,,
,,4ce2b6b4ead96,,,,411,,,,,,
,,4ce2b8a69d6fb,,,,411,,,,,,
,,4f4bade9f1ea0,,,,411,,,,,,
,,4ce2b7cd86184,,,,511,,,,,,
,,4ce2b69554d15,,,,511,,,,,,
,,4ce2b70b19496,,,,511,,,,,,
,,4ce2b6ab5808b,,,,511,,,,,,
,,4ce2b6b9ad9b2,,,,511,,,,,,
,,4ce2b6ada3306,,,,511,,,,,,
,,4ce2b8dbcd571,,,,511,,,,,,
,,4ce2b77859f63,,,,511,,,,,,
,,4ce2b6afe1f56,,,,511,,,,,,
,,4ce2b6b295aa3,,,,511,,,,,,
,,4ce2b6a44b82c,,,,813,,,,,,
,,4ce2b6a673516,,,,813,,,,,,
,,4ce2b6a8a630e,,,,813,,,,,,
,,4ce2b6b310bc0,,,,813,,,,,,
,,4ce2b6b3291db,,,,813,,,,,,
,,4ce2b6b41d658,,,,813,,,,,,
,,4ce2b7d2993a2,,,,813,,,,,,
,,4ce2b6b73f34a,,,,813,,,,,,
,,4ce2b6b8908e4,,,,813,,,,,,
,,4ce2b6b9caca4,,,,813,,,,,,
,,4ce2b8203c690,,,,763,,,,,,
,,4ce2b7b78a3f5,,,,763,,,,,,
,,4ce2b6a21d217,,,,763,,,,,,
,,4ce2b6af6e08b,,,,763,,,,,,
,,4ce2b6bb90873,,,,763,,,,,,
,,4ce2b7c847246,,,,763,,,,,,
,,4ce2b6bf4e912,,,,763,,,,,,
,,4ce2b6b281116,,,,763,,,,,,
,,4ce2b6b5b13f5,,,,763,,,,,,
,,4ce2b76b0507b,,,,763,,,,,,
,,4ce2b6b9946ea,,,,596,,,,,,
,,4ce2b6bcc7768,,,,596,,,,,,
,,4ce2b6ab03131,,,,596,,,,,,
,,4ce2b73116007,,,,596,,,,,,
,,4ce2b6a498bd1,,,,596,,,,,,
,,4ce2b6b008211,,,,596,,,,,,
,,4ce2b6b0f3909,,,,596,,,,,,
,,4ce2b6b2a3772,,,,596,,,,,,
,,4ce2b6b2b861d,,,,596,,,,,,
,,4ce2b6bab2bda,,,,596,,,,,,
,,4ce2b6a84f93b,,,,426,,,,,,
,,4ce2b6bfecaeb,,,,426,,,,,,
,,4ce2b6aadb03d,,,,426,,,,,,
,,4ce2b6b209ea3,,,,426,,,,,,
,,4ce2b752105a2,,,,426,,,,,,
,,4ce2b6b3e3055,,,,426,,,,,,
,,4ce2b82b6b26b,,,,426,,,,,,
,,4ce2b76b0507b,,,,426,,,,,,
,,4ce2b6ae52fa0,,,,426,,,,,,
,,4ce2b779dd367,,,,426,,,,,,
,,4ce2b6a6e45a7,,,,452,,,,,,
,,4ce2b6a7c19f4,,,,452,,,,,,
,,4ce2b8bc5e3ad,,,,452,,,,,,
,,4ce2b70d6bcb8,,,,452,,,,,,
,,4ce2b746843f8,,,,452,,,,,,
,,4ce2b6b30995b,,,,452,,,,,,
,,4ce2b6b47f860,,,,452,,,,,,
,,4ce2b76bab08c,,,,452,,,,,,
,,4ce2b6bb83f08,,,,452,,,,,,
,,4ce2b6b8908e4,,,,452,,,,,,
,,4ce2b6ee1a28e,,,,513,,,,,,
,,4ce2b6a7a801b,,,,513,,,,,,
,,4ce2b6be7d19a,,,,513,,,,,,
,,4ce2b6bc8d002,,,,513,,,,,,
,,4ce2b754db651,,,,513,,,,,,
,,4ce2b6b2deaa5,,,,513,,,,,,
,,4ce2b771c297f,,,,513,,,,,,
,,4ce2b6b7ea720,,,,513,,,,,,
,,4ce2b6b8908e4,,,,513,,,,,,
,,4ce2b6b9caca4,,,,513,,,,,,
,,4ce2b6a673516,,,,86,,,,,,
,,4ce2b7c665f50,,,,86,,,,,,
,,4ce2b6a989752,,,,86,,,,,,
,,4ce2b7267207e,,,,86,,,,,,
,,4ce2b6ae5be6a,,,,86,,,,,,
,,4ce2b6946027e,,,,86,,,,,,
,,4ce2b6b143f57,,,,86,,,,,,
,,4ce2b754db651,,,,86,,,,,,
,,4ce2b6b2f22d7,,,,86,,,,,,
,,4ce2b69593482,,,,86,,,,,,
,,4ce2b711a157d,,,,741,,,,,,
,,4ce2b6b995895,,,,741,,,,,,
,,4ce2b6ab4237b,,,,741,,,,,,
,,4ce2b6bb90873,,,,741,,,,,,
,,4ce2b6b2deaa5,,,,741,,,,,,
,,4ce2b76b0507b,,,,741,,,,,,
,,4ce2b6bf3bbfd,,,,741,,,,,,
,,4ce2b6bb2414d,,,,741,,,,,,
,,4ce2b6a44b82c,,,,941,,,,,,
,,4ce2b6f695fc4,,,,941,,,,,,
,,4ce2b6a90d39d,,,,941,,,,,,
,,4ce2b6ae3a9a9,,,,941,,,,,,
,,4ce2b6ab03131,,,,941,,,,,,
,,4ce2b6f70f8b9,,,,941,,,,,,
,,4ce2b6afdc8ac,,,,941,,,,,,
,,4ce2b6c0785ef,,,,941,,,,,,
,,4ce2b6b7568ee,,,,941,,,,,,
,,4ce2b6b94daff,,,,941,,,,,,
,,4ce2b6f24787d,,,,1110,,,,,,
,,4ce2b6a68bd9d,,,,1110,,,,,,
,,4ce2b6ae61fec,,,,1110,,,,,,
,,4ce2b6bfd1ebb,,,,1110,,,,,,
,,4ce2b6a7a801b,,,,1110,,,,,,
,,4ce2b78292f14,,,,1110,,,,,,
,,4ce2b6adf17e2,,,,1110,,,,,,
,,4ce2b6b5b6382,,,,1110,,,,,,
,,4ce2b6ba38aa9,,,,1110,,,,,,
,,4ce2b6bb7e02a,,,,1110,,,,,,
,,4ce2b6f95cd00,,,,629,,,,,,
,,4ce2b6e73c109,,,,629,,,,,,
,,4ce2b6c00c15f,,,,629,,,,,,
,,4ce2b6ab939b3,,,,629,,,,,,
,,4ce2b6ace592f,,,,629,,,,,,
,,4ce2b6a498bd1,,,,629,,,,,,
,,4ce2b74e11d41,,,,629,,,,,,
,,4ce2b76b0507b,,,,629,,,,,,
,,4ce2b6ae4e8dc,,,,629,,,,,,
,,4ce2b6a21d217,,,,36,,,,,,
,,4ce2b7a386c30,,,,36,,,,,,
,,4ce2b6b2b59cc,,,,36,,,,,,
,,4ce2b7d2993a2,,,,36,,,,,,
,,4ce2b76b0507b,,,,36,,,,,,
,,4ce2b6bf3bbfd,,,,36,,,,,,
,,4ce2b7786b790,,,,36,,,,,,
,,4ce2b6b8908e4,,,,36,,,,,,
,,4ce2b6b81dc84,,,,36,,,,,,
,,4ce2b6ba49e47,,,,36,,,,,,
,,4ce2b6b9450a5,,,,54,,,,,,
,,4ce2b6bc285f7,,,,54,,,,,,
,,4ce2b6ae61fec,,,,54,,,,,,
,,4ce2b6a90d39d,,,,54,,,,,,
,,4ce2b6ab152c5,,,,54,,,,,,
,,4ce2b6ab4237b,,,,54,,,,,,
,,4ce2b7d231dab,,,,54,,,,,,
,,4ce2b73116007,,,,54,,,,,,
,,4ce2b6be7d19a,,,,54,,,,,,
,,4ce2b6af6e08b,,,,54,,,,,,
,,4ce2b8c42e87d,,,,434,,,,,,
,,4ce2b6ab05db0,,,,434,,,,,,
,,4ce2b6b954dfc,,,,434,,,,,,
,,4ce2b6aadb03d,,,,434,,,,,,
,,4ce2b6b266309,,,,434,,,,,,
,,4ce2b792d838f,,,,434,,,,,,
,,4ce2b69d3cf18,,,,434,,,,,,
,,4ce2b8c558b63,,,,434,,,,,,
,,4ce2b6bad3a0d,,,,434,,,,,,
,,4ce2b6ded348a,,,,434,,,,,,
,,4ce2b6a44b82c,,,,1190,,,,,,
,,4ce2b8203c690,,,,1190,,,,,,
,,4ce2b6a9624ac,,,,1190,,,,,,
,,4ce2b737a3887,,,,1190,,,,,,
,,4ce2b8ced1763,,,,1190,,,,,,
,,4ce2b71202028,,,,1190,,,,,,
,,4ce2b6b046092,,,,1190,,,,,,
,,4ce2b835c0c46,,,,1190,,,,,,
,,4ce2b8de13c81,,,,1190,,,,,,
,,4ce2b6b6f1d17,,,,1190,,,,,,
,,4ce2b6f24787d,,,,682,,,,,,
,,4ce2b6bfd1ebb,,,,682,,,,,,
,,4ce2b6a7e0681,,,,682,,,,,,
,,4ce2b6ab4237b,,,,682,,,,,,
,,4ce2b6bf4e912,,,,682,,,,,,
,,4ce2b6b54abdf,,,,682,,,,,,
,,4ce2b6b6036b6,,,,682,,,,,,
,,4ce2b6b7bc1b8,,,,682,,,,,,
,,4ce2b8c6518bb,,,,682,,,,,,
,,4ce2b6b824610,,,,682,,,,,,
,,4ce2b6a7a801b,,,,1136,,,,,,
,,4ce2b6b995895,,,,1136,,,,,,
,,4ce2b6aa3733f,,,,1136,,,,,,
,,4ce2b6b681db5,,,,1136,,,,,,
,,4ce2b6ab6f1c7,,,,1136,,,,,,
,,4ce2b6b30995b,,,,1136,,,,,,
,,4ce2b6b5991f4,,,,1136,,,,,,
,,4ce2b6b6b7aca,,,,1136,,,,,,
,,4ce2b6b757144,,,,1136,,,,,,
,,4ce2b6bb90b37,,,,1136,,,,,,
,,4ce2b6a5a9ac1,,,,109,,,,,,
,,4ce2b6be331c6,,,,109,,,,,,
,,4ce2b6aee3445,,,,109,,,,,,
,,4ce2b74203000,,,,109,,,,,,
,,4ce2b8cd81e9f,,,,109,,,,,,
,,4ce2b752105a2,,,,109,,,,,,
,,4ce2b753f20d7,,,,109,,,,,,
,,4ce2b704d3439,,,,109,,,,,,
,,4ce2b7f671637,,,,109,,,,,,
,,4ce2b6ae4e8dc,,,,109,,,,,,
,,4ce2b6b9450a5,,,,59,,,,,,
,,4ce2b768df342,,,,59,,,,,,
,,4ce2b709488e6,,,,59,,,,,,
,,4ce2b6ad87c49,,,,59,,,,,,
,,4ce2b6bd29db3,,,,59,,,,,,
,,4ce2b6a6b65d6,,,,59,,,,,,
,,4ce2b6ac7d8e0,,,,59,,,,,,
,,4ce2b6ae54d28,,,,59,,,,,,
,,4ce2b6b7ea720,,,,59,,,,,,
,,4ce2b6f16714f,,,,314,,,,,,
,,4ce2b6f693062,,,,314,,,,,,
,,4ce2b73116007,,,,314,,,,,,
,,4ce2b7b9372f0,,,,314,,,,,,
,,4ce2b6af6aedd,,,,314,,,,,,
,,4ce2b76321ea4,,,,314,,,,,,
,,4ce2b6b52ac87,,,,314,,,,,,
,,4ce2b6b7bc1b8,,,,314,,,,,,
