YEAR,FILM,FILM_ID,COUNTRY,COUNTRY_ID,VOTER,VOTER_ID,DIRECTOR,DIRECTOR_ID,GENDER,GENDER_ID,ROLE,ROLE_ID
,,,US,23049ad7-90ef-4bd6-a46b-800493a84dd6,Thom Andersen,1183,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Director,90864f57-e690-4cec-945d-d2a1b3a179d3
,,,Canada,c1f043a5-3e3e-4c78-902b-a622a68ca2b0,Jason Anderson,502,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Critic,2fd484da-3011-4242-8eee-16e42a78212b
,,,Sweden,aaa6f4d7-e773-407e-9320-4ccf74fd1496,Roy Andersson,1154,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Director,90864f57-e690-4cec-945d-d2a1b3a179d3
,,,Serbia,55fd8bd0-8404-42d1-bc37-c2348c94fd68,Borislav Andjelic,757,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Critic,2fd484da-3011-4242-8eee-16e42a78212b
,,,Brazil,5a52a377-a12d-4f0d-834f-900924822b70,Fábio Andrade,621,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Critic,2fd484da-3011-4242-8eee-16e42a78212b
,,,Norway,5fa6df71-e9e0-4c2d-b9c9-b9ddf0955798,Arild Andresen,884,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Director,90864f57-e690-4cec-945d-d2a1b3a179d3
,,,UK,abd853e8-6146-4b4f-b134-2db1684056c2,Geoff Andrew,583,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Critic,2fd484da-3011-4242-8eee-16e42a78212b
,,,UK,abd853e8-6146-4b4f-b134-2db1684056c2,Nigel Andrews,246,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Critic,2fd484da-3011-4242-8eee-16e42a78212b
,,,Argentina,a91a056e-fdc6-42c4-8339-b6d7b898be15,Mauro Andrizzi,1063,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Director,90864f57-e690-4cec-945d-d2a1b3a179d3
,,,Indonesia,fd183487-0e47-4fa0-83e1-d0e39cda092c,Joko Anwar,1002,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Director,90864f57-e690-4cec-945d-d2a1b3a179d3
